wallet_id,score
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,505
0x06b51c6882b27cb05e712185531c1f74996dd988,170
0x0795732aacc448030ef374374eaae57d2965c16c,168
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,542
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,173
0x104ae61d8d487ad689969a17807ddc338b445416,214
0x111c7208a7e2af345d36b6d4aace8740d61a3078,172
0x124853fecb522c57d9bd5c21231058696ca6d596,173
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,168
0x1656f1886c5ab634ac19568cd571bc72f385fdf7,429
0x1724e16cb8d0e2aa4d08035bc6b5c56b680a3b22,173
0x19df3e87f73c4aaf4809295561465b993e102668,358
0x1ab2ccad4fc97c9968ea87d4435326715be32872,170
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,404
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,166
0x22d7510588d90ed5a87e0f838391aaafa707c34b,421
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,188
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,202
0x27f72a000d8e9f324583f3a3491ea66998275b28,170
0x2844658bf341db96aa247259824f42025e3bcec2,168
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,170
0x330513970efd9e8dd606275fb4c50378989b3204,433
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,394
0x3867d222ba91236ad4d12c31056626f9e798629c,168
0x3a44be4581137019f83021eeee72b7dc57756069,168
0x3e69ad05716bdc834db72c4d6d44439a7c8a902b,170
0x427f2ac5fdf4245e027d767e7c3ac272a1f40a65,453
0x4814be124d7fe3b240eb46061f7ddfab468fe122,417
0x4839e666e2baf12a51bf004392b35972eeddeabf,290
0x4c4d05fe859279c91b074429b5fc451182cec745,181
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,436
0x4db0a72edb5ea6c55df929f76e7d5bb14e389860,170
0x4e61251336c32e4fe6bfd5fab014846599321389,179
0x4e6e724f4163b24ffc7ffe662b5f6815b18b4210,182
0x507b6c0d950702f066a9a1bd5e85206f87b065ba,298
0x54e19653be9d4143b08994906be0e27555e8834d,173
0x56ba823641bfc317afc8459bf27feed6eb9ff59f,172
0x56cc2bffcb3f86a30c492f9d1a671a1f744d1d2f,270
0x578cea5f899b0dfbf05c7fbcfda1a644b2a47787,248
0x58c2a9099a03750e9842d3e9a7780cdd6aa70b86,178
0x58d68d4bcf9725e40353379cec92b90332561683,355
0x5e324b4a564512ea7c93088dba2f8c1bf046a3eb,168
0x612a3500559be7be7703de6dc397afb541a16f7f,372
0x623af911f493747c216ad389c7805a37019c662d,804
0x6a2752a534faacaaa153bffbb973dd84e0e5497b,266
0x6d69ca3711e504658977367e13c300ab198379f1,171
0x6e355417f7f56e7927d1cd971f0b5a1e6d538487,189
0x70c1864282599a762c674dd9d567b37e13bce755,172
0x70d8e4ab175dfe0eab4e9a7f33e0a2d19f44001e,452
0x7399dbeebe2f88bc6ac4e3fd7ddb836a4bce322f,168
0x767055590c73b7d2aaa6219da13807c493f91a20,168
0x7851bdfb64bbecfb40c030d722a1f147dff5db6a,297
0x7b4636320daa0bc055368a4f9b9d01bd8ac51877,186
0x7b57dbe2f2e4912a29754ff3e412ed9507fd8957,173
0x7be3dfb5b6fcbae542ea85e76cc19916a20f6c1e,168
0x7de76a449cf60ea3e111ff18b28e516d89532152,168
0x7e3eab408b9c76a13305ef34606f17c16f7b33cc,328
0x7f5e6a28afc9fb0aaf4259d4ff69991b88ebea47,168
0x83ea74c67d393c6894c34c464657bda2183a2f1a,250
0x8441fecef5cc6f697be2c4fc4a36feacede8df67,302
0x854a873b8f9bfac36a5eb9c648e285a095a7478d,168
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,170
0x880a0af12da55df1197f41697c1a1b61670ed410,211
0x8aaece100580b749a20f8ce30338c4e0770b65ed,241
0x8be38ea2b22b706aef313c2de81f7d179024dd30,136
0x8d900f213db5205c529aaba5d10e71a0ed2646db,189
0x91919344c1dad09772d19ad8ad4f1bcd29c51f27,168
0x93f0891bf71d8abed78e0de0885bd26355bb8b1d,170
0x96479b087cb8f236a5e2dcbfc50ce63b2f421da6,364
0x96bb4447a02b95f1d1e85374cffd565eb22ed2f8,166
0x9a363adc5d382c04d36b09158286328f75672098,300
0x9ad1331c5b6c5a641acffb32719c66a80c6e1a17,168
0x9ba0d85f71e145ccf15225e59631e5a883d5d74a,437
0x9e6ec4e98793970a1307262ba68d37594e58cd78,260
0xa7e94d933eb0c439dda357f61244a485246e97b8,290
0xa7f3c74f0255796fd5d3ddcf88db769f7a6bf46a,463
0xa98dc64bb42575efec7d1e4560c029231ce5da51,227
0xb271ff7090b39028eb6e711c3f89a3453d5861ee,175
0xb475576594ae44e1f75f534f993cbb7673e4c8b6,201
0xb57297c5d02def954794e593db93d0a302e43e5c,196
0xbd4a00764217c13a246f86db58d74541a0c3972a,639
0xc179d55f7e00e789915760f7d260a1bf6285278b,245
0xc22b8e78394ce52e0034609a67ae3c959daa84bc,418
0xcbbd9fe837a14258286bbf2e182cbc4e4518c5a3,315
0xcecf5163bb057c1aff4963d9b9a7d2f0bf591710,171
0xcf0033bf27804640e5339e06443e208db5870dd2,170
0xd0df53e296c1e3115fccc3d7cdf4ba495e593b56,171
0xd1a3888fd8f490367c6104e10b4154427c02dd9c,170
0xd334d18fa6bada9a10f361bae42a019ce88a3c33,172
0xd9d3930ffa343f5a0eec7606d045d0843d3a02b4,177
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,454
0xde92d70253604fd8c5998c8ee3ed282a41b33b7f,168
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,191
0xebb8629e8a3ec86cf90cb7600264415640834483,203
0xeded1c8c0a0c532195b8432153f3bfa81dba2a90,216
0xf10fd8921019615a856c1e95c7cd3632de34edc4,410
0xf340b9f2098f80b86fbc5ede586c319473aa11f3,488
0xf54f36bca969800fd7d63a68029561309938c09b,168
0xf60304b534f74977e159b2e159e135475c245526,199
0xf67e8e5805835465f7eba988259db882ab726800,168
0xf7aa5d0752cfcd41b0a5945867d619a80c405e52,168
0xf80a8b9cfff0febf49914c269fb8aead4a22f847,210
0xfe5a05c0f8b24fca15a7306f6a4ebb7dcf2186ac,168
